Bolagsnamn;Info;Info;Info;Info;Info;Info;Info;Kursutveck.;Kursutveck.;Utdelning;Utdelning;P/E;P/S;P/B;EV;Volym;ROE;ROE;ROIC;ROIC;Vinsttillväxt;Vinsttillväxt;FCF;FCF;Börsvärde;Antal Aktier;Vinst/Aktie;Trad.volym;Volatilitet
;Land;Lista;Sektor;Bransch;Ticker;Instrument;Rapport;Utveck.  5 år;Utveck.  3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Senaste;Snitt 100d;Snitt 3 år;Snitt 5 år;Snitt 5 år;Snitt 3 år;År. tillv. 5 år;År. tillv. 3 år;Snitt 5 år;Snitt 3 år;Senaste;Senaste;Senaste;Volym 50d;St.avk. 100d
Millicom;Sverige;Large Cap;Telekommunikation;Telekommunikationstjänster;MIC SDB;Aktier;Q1-2018;0.04421449;-0.1885965;22.27104;22.2992;86.39477;1.03563;2.02162;83957.75;135983.2;0.01281298;0.1184708;0.05387184;0.006198229;-0.1559542;;4367.704;3440.027;55888.5;100.7;6.424;0.001289295;24.61088
Minesto;Sverige;First North;Kraftförsörjning;Energiproducenter;MINEST;Aktier;Q4-2017;;;;;-55.44933;11.31388;1.73363;389.1122;225683.5;-0.05976473;-0.09203779;-0.1091066;-0.08750924;;;-37.9478;-46.877;435.9802;75.169;-0.1046;0.004568912;89.58273
Mips;Sverige;Small Cap;Sällanköpsvaror;Konsument;MIPS;Aktier;Q1-2018;;;;;81.30556;13.73152;7.950301;1571.532;61295.94;0.1396624;0.0310892;0.03424263;0.227246;;0.04816185;3.2218;9.626334;1758.281;25.299;0.8548;0.001980402;46.72696
Miris;Sverige;Aktietorget;Hälsovård;Sjukvård;MIR;Aktier;Q1-2018;-0.9016025;-0.375;;;-4.268293;4.746039;8.681467;61.09484;2819121;-1.52078;-1.500571;-1.700867;-1.574317;;;-18.26;-22.94967;61.29984;1751.424;-0.0082;0.001319167;48.12197
Misen Energy;Sverige;First North;Energi;Olja & Gas;MISE;Aktier;Q1-2018;-0.933735;-0.8382353;;;-0.2847454;5.00894;-8.279707;154.5158;10472.66;-0.006364751;0.1551091;0.1549603;-0.006064157;;;32.3614;-0.1526667;159.5748;145.068;-3.8631;0.000121196;198.6533
Moberg Pharma;Sverige;Small Cap;Hälsovård;Läkemedel;MOB;Aktier;Q1-2018;-0.09565215;-0.5181467;;;33.65333;1.277326;0.9738396;1034.101;48971.76;0.03576793;0.04401372;0.03797084;0.01888331;;-0.1986787;-131.567;-212.1116;544.128;17.44;0.9271;0.00313542;41.72948
MobiPlus;Sverige;Aktietorget;Informationsteknik;IT-Tjänster;MPLUS;Aktier;Q1-2018;;;;;-11.91724;0.7703457;1.80634;32.82384;1306.47;-0.001335341;;;-0.000137666;;;;-7.041;23.48784;5.437;-0.3625;0.000189858;103.8661
Modern Ekonomi;Sverige;First North;Sällanköpsvaror;Media;ME;Aktier;Q2-2017;;-0.2162741;;;16.41256;0.4687272;3.778939;69.04884;1380.42;0.1808801;5.47328;65.67735;0.09462915;;-0.234485;-3.4132;-5.050667;54.07284;14.774;0.223;5.16E-05;34.27488
Moment Group;Sverige;First North;Sällanköpsvaror;Hotell, restaurang & nöje;MOMENT;Aktier;Q1-2018;0.8130081;-0.05508479;0.924;0.3066667;14.00402;0.3224681;2.138972;351.8889;7481.24;0.08380975;0.1474386;0.6791025;0.05392133;0.6262407;-0.07687801;-5.515999;-70.153;321.6329;14.423;1.5924;0.000468909;42.67761
Momentum Group;Sverige;Mid Cap;Industri;Byggprodukter;MMGR B;Aktier;Q4-2018;;;;0.8666666;17.86743;0.5720601;2.784521;3538.122;35469.97;0.114528;;;0.09899058;;0.09060529;;127;3216.122;28.015;6.4251;0.000860146;31.19931
Monberg & Thorsen;Denmark;Small Cap;Industri;Byggnation;MT B;Aktier;Q4-2017;-0.3349169;-0.6266667;;;-13.20792;;1.067872;424.3;762.63;;;;;;;;;501.9;3.585;-10.5997;0.000241897;23.21578
Monobank;Norge;Merkur Market;Finans & Fastighet;Bank;MONO-ME;Aktier;Q4-2017;;;;;40.24896;4.31486;1.38475;722.6054;83216.29;;;;;;;;;722.6054;248.318;0.0723;0.000367502;35.51383
Mons Bank;Denmark;Small Cap;Finans & Fastighet;Bank;MNBA;Aktier;Q1-2018;0.2413793;0.05439331;;10;4.919799;1.043637;0.4326044;87.887;1663.59;0.08010477;;;0.01064494;;;;189.683;151.2;1.2;25.6108;0.0024126;47.32411
Motion Display;Sverige;Aktietorget;Informationsteknik;Elektronisk utrustning;MODI;Aktier;Q1-2018;;1.535545;;;68.50192;2.583959;9.949593;114.7485;7324.54;-0.05927248;-0.3806767;-0.3808971;-0.04940601;;;-6.2628;-1.123667;111.2265;10.395;0.1562;0.000529701;81.00412
MoxieTech;Sverige;First North;Industri;Bemanning;MOXI;Aktier;Q3-2018;;;0.08;0.1333333;138.2514;0.2806925;3.284894;62.181;5588.06;0.1382354;0.2936111;0.2726412;0.1323442;;-0.5379772;-1.7562;-3.809;65.78;13;0.0366;0.000348808;41.95889
MPC Container Ships;Norge;OB Match;Industri;Handel & Distribution;MPCC-ME;Aktier;Q4-2017;;;;;-178.2304;21.98653;1.381099;3171.985;67800.22;;;;;;;;;3654.168;65.253;-0.3142;0.001207023;20.47545
MQ;Sverige;Small Cap;Sällanköpsvaror;kläder & Textil;MQ;Aktier;Q2-2018;-0.04876322;-0.6530928;1.672;1.75;6.226581;0.2653953;0.4426565;691.1998;81438.67;0.08184613;0.09222293;0.07389998;0.06719601;0.03845691;-0.1412363;76.6;40.66667;473.1998;35.156;2.1617;0.002096457;41.16586
Mr Green & Co;Sverige;Mid Cap;Sällanköpsvaror;Betting & Spel;MRG;Aktier;Q1-2018;;0.2337662;0.78;0.8666666;17.53479;1.496155;1.780777;1302.907;177801.5;0.08473407;0.03173697;0.03729156;0.09268337;0.1634011;;99.112;109.5897;1940.328;40.849;2.7089;0.004234391;40.23801
MTG A;Sverige;Large Cap;Sällanköpsvaror;Media;MTG A;Pref;Q1-2018;0.3500374;0.3189623;11.9;12.33333;19.02644;1.339452;4.309781;26747.36;589.04;0.1088164;0.1133334;0.09165779;0.09143081;0.02970817;0.8077683;336.6;556.6667;24087.36;66.724;18.9736;4.18E-06;52.77202
MTG B;Sverige;Large Cap;Sällanköpsvaror;Media;MTG B;Aktier;Q1-2018;0.3235955;0.3084042;11.9;12.33333;18.62588;1.311253;4.219049;26240.26;272805.4;0.1088164;0.1133334;0.09165779;0.09143081;0.02970817;0.8077683;336.6;556.6667;23580.26;66.724;18.9736;0.003507477;29.49286
Multiconsult;Norge;OB Match;Industri;Byggnation;MULTI;Aktier;Q4-2017;;-0.3465346;1.48;2.466667;21.78002;0.5817476;2.975982;1873.388;22543.14;0.3288339;0.3547489;0.565158;0.364293;;-0.2186229;31.4122;-31.14967;1732.236;26.246;3.0303;0.001182857;30.1459
MultiDocker;Sverige;NGM;Industri;Produktion;MULT MTF;Aktier;Q1-2018;;;;;-2.763295;0.5741637;4.838984;90.95649;342737.4;-1.119241;;;-0.9295441;;;;-26.54067;69.07649;130.333;-0.1918;0.002100961;51.59698
MultiQ;Sverige;Small Cap;Informationsteknik;Elektronisk utrustning;MULQ;Aktier;Q1-2018;0.03322198;-0.3867925;;;72.22222;0.6050749;1.089023;71.5096;168596;-0.01372245;0.03860764;0.06926403;-0.01331909;;;-0.09700012;-2.414;80.1216;123.264;0.009;0.001000793;66.42558
Munters;Sverige;Large Cap;Industri;Byggprodukter;MTRS;Aktier;Q1-2018;;;0.12;0.2;34.34373;1.309845;2.247273;11512.62;303652.6;0.07422703;-0.1284508;-0.001942305;0.02461687;;;-102.8;-50;8757.625;183.598;1.3889;0.001581814;22.57393
MVV Holding;Sverige;NGM;Informationsteknik;Tjänster & Leverans;MVV MTF B;Aktier;Q4-2017;-0.5341615;-0.556213;;;-5.905512;0.1750224;0.7980779;7.08;4370.27;-0.168024;-0.0885256;-0.08693434;-0.1644631;;;0.4044;-1.319333;7.806;5.204;-0.254;0.000300669;88.10221
Mycronic;Sverige;Mid Cap;Informationsteknik;Elektronisk utrustning;MYCR;Aktier;Q1-2018;6.37037;0.6244898;3;2.333333;14.86539;3.168268;4.988092;8947.642;377698.5;0.3520926;0.3251452;0.5595064;0.4120643;1.179825;0.1398952;429.88;375.3334;9742.741;97.917;6.6934;0.004110561;40.73068
myFC Holding;Sverige;First North;Kraftförsörjning;Energiproducenter;MYFC;Aktier;Q1-2018;;-0.4787234;;;-1.888756;68.85399;0.9547604;100.1677;449958.9;-0.4802051;-0.4454507;-0.5711127;-0.6338593;;;-63.79139;-81.02066;150.1017;30.633;-2.5943;0.0111753;126.8402
myTaste;Sverige;First North;Informationsteknik;Programvara & Internet;TASTE;Aktier;Q1-2018;-0.2;-0.5076923;;;-6.958035;1.531751;2.669637;85.5044;18197.21;-0.3634381;-0.3743338;-0.2624044;-0.2151868;;;-13.7958;-16.008;70.4544;22.017;-0.4599;0.000791497;53.99339
Mälaråsen;Sverige;Aktietorget;Finans & Fastighet;Fastigheter;MALAR;Aktier;Q4-2017;;;;;3.17828;6.217896;1.072777;939.841;2275.32;;;;;;;;;363.15;2.69;42.4758;0.000851881;16.19239
Nanexa;Sverige;Aktietorget;Hälsovård;Läkemedel;NANEXA;Aktier;Q1-2018;;;;;-9.463895;21.74884;3.150262;63.96404;17441.5;-0.3324881;-0.4937551;-1.01339;-0.9705972;;;-9.3518;-13.587;79.14404;11.437;-0.7312;0.000915008;83.58061
Nanologica;Sverige;Aktietorget;Hälsovård;Sjukvård;NICA;Aktier;Q1-2018;;;;;-0.7414225;1.503571;-4.018397;30.2673;9612.79;-4.382174;-2.790142;-3.58403;-2.475921;;;-20.60025;-25.4205;13.3893;4.617;-3.9114;0.00240431;101.5567
Napatech;Norge;OB Match;Informationsteknik;Kommunikation;NAPA;Aktier;Q4-2017;;1.79;0.0625;0.1041667;-10.8106;1.281759;1.441862;324.0543;8996.49;-0.02525533;-0.01672257;-0.01946975;-0.02711557;;;-31.2516;-35.8559;330.1267;23.665;-1.2904;0.000125639;46.93043
NattoPharma;Sverige;First North;Hälsovård;Läkemedel;NATTO;Aktier;Q4-2017;;-0.2687747;;;6.961168;2.417399;1.43938;153.4574;916.19;-0.123946;-0.1292683;-0.1682625;-0.1799254;;;-20.0153;-16.69107;167.6933;18.129;1.3288;5.96E-05;85.41808
NattoPharma No;Norge;Oslo Axess;Hälsovård;Läkemedel;NATTO;Aktier;Q4-2017;-0.5814148;-0.2592593;;;7.111814;2.469667;1.470502;149.603;8839.64;-0.1239461;-0.1292684;-0.1682627;-0.1799254;;;-19.3912;-16.52633;163.161;18.129;1.2655;0.00033721;40.3264
Navamedic;Norge;OB Match;Hälsovård;Läkemedel;NAVA;Aktier;Q4-2017;-0.04961836;0.1369863;;;-13.43767;0.5246048;1.32403;133.5776;6738.84;-0.09735363;-0.06212819;-0.05293191;-0.08252226;;;0.8602009;11.276;135.3066;10.868;-0.9265;0.00094673;48.70888
NAXS Nordic Access;Sverige;Small Cap;Finans & Fastighet;Investmentbolag;NAXS;Aktier;Q1-2018;0.6389684;-0.01379309;1.5;0.9;15.21519;;0.91992;341.5254;11501.66;0.0739114;0.0947735;0.1614255;0.146658;0.006476017;-0.04497284;118.5892;102.6577;778.3204;13.607;3.7594;0.001374031;20.40644
NCC A;Sverige;Large Cap;Industri;Byggnation;NCC A;Pref;Q1-2018;0.06666666;-0.3633952;8.4;8;38.55864;0.3382151;3.69047;19995.8;4558.98;0.5702812;0.4270624;0.2899537;0.3984848;-0.2503234;-0.3940499;812.8;53;18160.8;108.1;4.357;4.68E-05;30.59463
NCC B;Sverige;Large Cap;Industri;Byggnation;NCC B;Aktier;Q1-2018;0.02861637;-0.383063;8.4;8;37.5373;0.3292565;3.592716;19514.76;550568.6;0.5702812;0.4270624;0.2899537;0.3984848;-0.2503234;-0.3940499;812.8;53;17679.76;108.1;4.357;0.006456633;25.90839
Nederman;Sverige;Mid Cap;Industri;Byggprodukter;NMAN;Aktier;Q1-2018;0.9107143;0.4459459;1.6333;1.8333;19.62799;1.182472;3.238811;4360.511;13657.43;0.1711349;0.1649073;0.09703504;0.1036227;0.2242433;0.07728487;64.14;76.33334;3752.811;35.073;5.4514;0.000655909;31.48709
NEL;Norge;OB Match;Industri;Produktion;NEL;Aktier;Q1-2018;0.5345142;0.6935307;;;-46.41791;8.278738;2.310454;2855.246;5358868;-0.05662805;-0.04486335;-0.06074259;-0.07186903;;;-191.0014;-269.5697;3106;998.714;-0.067;0.004962484;38.26424
Neo Industrial;Finland;Small Cap;Finans & Fastighet;Investmentbolag;NEO1V;Aktier;Q4-2017;4.2;1.314136;0.024;0.04;8.634499;0.237027;2.442729;34.23332;4683.65;0.02626886;0.02248136;-0.6182306;-1.059399;;0.1992427;4.362;4.741333;26.28132;5.946;0.5119;0.00073521;43.80172
Nepa;Sverige;First North;Informationsteknik;Programvara & Internet;NEPA;Aktier;Q1-2018;;;;;-24.57513;2.276147;11.31946;487.403;858.54;-0.2943307;-0.2365199;-0.7702211;-0.5362251;;;-15.4754;-24.01367;507.508;7.148;-2.8891;0.000118226;57.68261
Neste;Finland;Large Cap;Energi;Olja & Gas;NESTE;Aktier;Q1-2018;5.166519;2.019081;1.27;1.566667;16.82008;1.289976;3.81054;18117.22;585842.7;0.2288746;0.1775657;0.1467131;0.1974761;0.151646;0.2377057;553.6;782;17795.22;255.605;4.1391;0.002198038;40.42645
Net Gaming Europe;Sverige;Aktietorget;Sällanköpsvaror;Betting & Spel;NETG;Aktier;Q1-2018;81.30769;15.98413;;;39.80655;4.170516;6.789704;593.736;83145;-5.212318;-4.573293;-0.8329332;0.02156781;;;-43.648;-72.03201;718.826;67.18;0.2688;0.001175816;46.98665
Net Insight;Sverige;Mid Cap;Informationsteknik;Kommunikation;NETI B;Aktier;Q1-2018;2.663865;0.4064517;;;-322.963;3.917953;3.042396;1507.657;344623.5;0.02118833;0.02888675;0.05318472;0.03060664;;;-10.8106;-16.786;1672.226;383.538;-0.0135;0.000915238;41.18952
Net Trading Group;Sverige;NGM;Dagligvaror;Livsmedel;NTGR MTF;Aktier;Q4-2017;;;;;-12.05861;1.712919;4.708113;52.78236;41645.11;-0.9214046;;;-1.382158;;;;-4.232666;61.83636;12.318;-0.4163;0.002211995;82.14095
NetEnt;Sverige;Large Cap;Sällanköpsvaror;Betting & Spel;NET B;Aktier;Q1-2018;1.920294;-0.09599444;1.78332;2.25;20.75894;7.193638;11.09455;11360.38;1489029;0.5528252;0.525498;1.009263;1.026982;0.2769754;0.1536925;379.1184;438.1113;11921.25;240.13;2.3915;0.005436556;55.60809
Netflix;USA;"NYSE & Nasdaq
";Informationsteknik;IT-Tjänster;NFLX;Aktier;Q1-2018;9.750341;2.95425;;;227.3722;11.95593;37.93365;156469.7;10570730;0.1308482;0.1546704;0.04830516;0.04498914;0.411352;0.7507694;-1149.907;-1598.173;152521;434.174;1.545;0.02256747;43.08424
NetJobs;Sverige;First North;Industri;Bemanning;NJOB;Aktier;Q4-2017;-0.505618;-0.7152103;0.04;0.03333334;-6.367583;0.4858683;3.398933;19.166;8557.94;-0.1029437;-0.1145824;-0.1664928;-0.04255662;;;-1.1976;-0.322;18.48;21;-0.1382;0.00022013;153.6606
Netmore;Sverige;First North;Telekommunikation;Telekommunikationstjänster;NETM B;Aktier;Q1-2018;;;;;-0.3340397;1.694443;0.5436485;10.82241;43034.77;-1.074096;;;-0.6635372;;;;-16.14033;10.82241;11.637;-2.7841;0.004017114;181.2325
NeuroSearch;Denmark;Small Cap;Hälsovård;Bioteknik;NEUR;Aktier;Q4-2017;0.1686746;0.5396824;;;-15.08085;54.37758;1.623499;45.0119;107502.3;0.04514532;;;-7.446149;;;;-2.847;119.0869;24.554;-0.3216;0.007234627;68.50291
NeuroVive Pharmaceutical;Sverige;Small Cap;Hälsovård;Läkemedel;NVP;Aktier;Q1-2018;-0.8707685;-0.9451883;;;-2.05072;193.692;1.481981;113.823;400442.3;-0.5762364;-0.5411011;-0.9813573;-0.8747796;;;-74.8904;-72.24167;129.58;49.458;-1.2776;0.009422369;87.89709
New Equity Venture;Sverige;Aktietorget;Sällanköpsvaror;Konsument;NEVI B;Aktier;Q1-2018;;2.266667;;;-5.305672;3.111259;2.205099;134.219;268.39;-0.1223493;0.003728691;0.1258873;-0.1301769;;;-3.982;-11.343;147.735;3.015;-9.2354;5.64E-05;88.65211
New Nordic Healthbrands;Sverige;First North;Dagligvaror;Konsumentprodukter;NNH;Aktier;Q1-2018;7.479532;1.089337;0.59;0.9;19.53283;1.2751;6.659315;445.7175;3829.42;0.2991557;0.3416059;0.3809021;0.3266081;0.3189186;0.2661026;3.4338;5.537333;449.1375;6.195;3.7117;0.000658266;43.07146
New Wave;Sverige;Mid Cap;Sällanköpsvaror;kläder & Textil;NEWA B;Aktier;Q1-2018;0.4913295;0.1944444;1.35;1.583333;10.21297;0.6106692;1.109712;5115.55;122046.1;0.1075855;0.09062935;0.05537215;0.06763727;0.123539;0.3265392;34.46;168.9333;3423.35;66.344;5.0524;0.001835924;24.54761
NewCap Holding;Denmark;Small Cap;Finans & Fastighet;Investmentbolag;NEWCAP;Aktier;Q4-2017;1.705882;-0.3920705;;;-3.213038;0.4181924;0.5544599;87.469;79084.29;;;;;;;;;165.6;120;-0.4295;0.000341104;52.90133
News55;Sverige;NGM;Sällanköpsvaror;Media;N55 MTF;Aktier;Q1-2018;;;;;-0.9812638;0.8610055;1.950365;11.084;1321.89;-9.52205;;;-2.855904;;;;-7.323667;10.413;1.78;-5.9617;0.00026927;115.0489
Nexam;Sverige;First North;Industri;Produktion;NEXAM;Aktier;Q1-2018;0.2671756;-0.05681818;;;-104.9305;12.47263;3.048013;546.5287;60499.04;-0.0742748;-0.2328078;-1.033324;-0.5003839;;;-57.2056;-75.69566;560.4077;67.519;-0.0791;0.000725089;41.3309
Nexar Group;Sverige;NGM;Sällanköpsvaror;Hotell, restaurang & nöje;NXAR MTF;Aktier;Q4-2017;;;;;-0.2670441;24.12575;2.180272;3.537126;7586.919;;;;;;;;;4.053126;9.339;-1.6252;0.00065826;201.45
Nexstim;Sverige;First North;Hälsovård;Sjukvård;NXTMS;Aktier;Q4-2017;;-0.9533084;;;-3.340019;8.885714;4.433023;187.5757;200618.4;-1.867342;;;-31.58991;;;;-72.41457;232.7462;93.173;-0.7479;0.001476401;38.74107
Nexstim Oyj;Finland;First North;Hälsovård;Sjukvård;NXTMH;Aktier;Q2-2017;;-0.9582847;;;-2.881517;6.212049;2.41272;11.38146;113237.6;-1.704074;;;-29.07404;;;;-7.489133;17.10426;70.33;-0.0844;0.00126263;49.9298
NEXT Biometrics;Norge;OB Match;Informationsteknik;Elektronisk utrustning;NEXT;Aktier;Q1-2018;;-0.1523256;;;-3.315897;6.092663;3.125071;484.4595;26430.51;-1.041565;-0.8608665;-2.369393;-2.3466;;;-162.8456;-190.637;593.0415;16.27;-10.9925;0.001588947;50.02437
Next Games;Finland;First North;Sällanköpsvaror;Betting & Spel;NXTGMS;Aktier;Q4-2017;;;;;-16.99029;3.333449;2.961508;82.7951;7603.02;-0.5045444;;;-5.207061;;;;-5.008667;108.3971;18.218;-0.3502;0.000401136;52.01381
NextCell Pharma;Sverige;Aktietorget;Hälsovård;Läkemedel;NEXTCL;Aktier;Q2-2018;;;;;-3.208385;64.75888;4.418564;41.586;45200.02;-1.253005;;;-5.631274;;;;-14.22833;51.03;8.505;-1.8701;0.004151102;68.33913
NextGenTel;Norge;OB Standard;Telekommunikation;Telekommunikationstjänster;NGT;Aktier;Q1-2018;-0.3148855;-0.5055096;1.15;0.1666667;-145.4619;0.3145998;2.169621;560.7808;24290.39;-0.1345129;0.107159;0.000321007;-0.1320229;;;90.6794;89.65234;417.9298;23.283;-0.1234;0.0011362;43.09362
NFO Drives;Sverige;Aktietorget;Industri;Produktion;NFO;Aktier;Q1-2018;;0.1139535;;;-29.5679;3.728436;5.466526;111.4004;177810.2;-0.164125;-0.1464171;-0.1949594;-0.1913399;;;-3.9498;-3.802667;114.0044;238.005;-0.0162;0.000471487;49.55232
NGEx Resources;Sverige;Mid Cap;Material;Gruv & Metall;NGQ;Aktier;Q1-2018;;0.03597122;;;-26.49007;;13.5588;1566.78;49304.07;-0.9105657;-0.985036;-2.444043;-2.437217;;;-111.2316;-67.91126;1626.314;225.877;-0.2718;0.000131473;52.09995
NGS;Sverige;Small Cap;Industri;Bemanning;NGS;Aktier;Q1-2018;0.8887575;-0.02385317;1.7425;1.916667;8.817679;0.5204744;1.687652;407.8358;11167.79;0.1980726;0.2075691;0.2500291;0.1997152;0.09057461;0.1107212;-4.254001;-28.085;359.9778;9.022;4.525;0.001409732;26.77386
NIBE;Sverige;Large Cap;Industri;Byggprodukter;NIBE B;Aktier;Q1-2018;2.328727;0.4415748;0.8985001;0.9933333;26.42533;2.365911;3.375101;52382.62;725292.3;0.1247154;0.1380747;0.079504;0.08131304;0.1223074;0.07290889;-467.6;-673;46137.62;504.016;3.4641;0.001449227;22.05667
Nickel Mountain;Sverige;NGM;Material;Gruv & Metall;NICK MTF;Aktier;Q1-2018;;;;;-24.91525;;0.4101242;105.9359;1504236;-0.03894305;;;-0.0487913;;;;-13.56333;109.7599;373.333;-0.0118;0.00372819;104.5187
Nicoccino;Sverige;First North;Dagligvaror;Konsumentprodukter;NICO;Aktier;Q1-2018;;-0.7794871;;;-13.90686;1025.328;3.584413;42.76;33439.63;-1.939577;-1.233012;-10.56306;-31.25824;;;-15.8536;-8.081;59.469;13.83;-0.3092;0.000698088;184.9048
Nike;USA;"NYSE & Nasdaq
";Dagligvaror;Konsumentprodukter;NKE;Aktier;Q2-2017;1.113342;0.3360015;;;;;;0.06843;7926154;;;;;;;;;0.06843;0.001;;;25.6278
Nilfisk;Denmark;Large Cap;Industri;Tjänster & Leverans;NLFSK;Aktier;Q1-2018;;;;;23.36861;0.8148137;7.442574;10788;56205.99;0.2476016;;;0.0762904;;;;201.0087;7907.229;27.126;12.474;0.00151049;26.336
Nilsson Special Vehicles;Sverige;First North;Industri;Produktion;NILS;Aktier;Q1-2018;;;;;-4.389763;0.2301313;0.730294;40.1791;3470.18;-0.08779714;0.02471576;0.008955151;-0.05855139;;;-9.691601;-14.417;43.1151;2.933;-3.3487;0.000944439;97.43259
Nilörngruppen;Sverige;Small Cap;Industri;Tjänster & Leverans;NIL B;Aktier;Q1-2018;;;3.62;3.866667;15.63345;1.410843;5.736287;952.7926;29181.8;0.3991396;0.3814001;0.5228188;0.5508069;0.1204851;0.1612206;32.9768;42.54733;955.4876;11.402;5.3603;0.002417785;23.10336
Nischer;Sverige;NGM;Finans & Fastighet;Fastigheter;NIS MTF;Aktier;Q4-2017;;;;;-5.240848;3.196851;0.8776136;89.4274;1332.47;-0.7844913;-0.4728046;-0.2200169;-0.3641579;;;-25.1918;-37.628;24.7724;18.215;-0.2595;1.84E-05;33.40654
Nitro Games;Sverige;First North;Sällanköpsvaror;Betting & Spel;NITRO;Aktier;Q1-2018;;;;;-2.807703;5.417329;5.674106;115.4987;3965.98;-1.40888;;;-1.929664;;;;-19.56273;125.766;2.329;-19.2328;0.001574556;56.63802
Nixu;Finland;First North;Informationsteknik;Programvara & Internet;NIXU;Aktier;Q4-2017;;1.76644;;0.03;-450.1845;2.355057;4.090979;73.9396;5804.2;0.01498038;;;0.03875814;;;;-3.0514;77.3236;6.338;-0.0271;0.000932411;34.67765
NKT Holding;Denmark;Large Cap;Industri;Tjänster & Leverans;NKT;Aktier;Q1-2018;-0.1953727;-0.5328358;;;0.7509267;0.4381967;0.8830096;8691.199;279907.8;0.7754762;;;0.4805853;;;;-584.9886;5083.934;27.071;250.091;0.01049036;37.00272
NNIT;Denmark;Mid Cap;Informationsteknik;IT-Tjänster;NNIT;Aktier;Q1-2018;;0.03144654;;4.266667;19.85713;1.426052;4.415215;4486.672;17732.62;0.2308365;;;0.2197292;;;;2.699672;4100;25;8.259;0.000611255;20.55894
Nobia;Sverige;Large Cap;Sällanköpsvaror;Konsument;NOBI;Aktier;Q1-2018;0.9162303;-0.2077923;4.25;5.666667;12.30355;0.9792373;2.679772;12321.35;552442.6;0.1937324;0.1578677;0.1403064;0.1789092;0.2315505;0.06446631;687.4;753.3333;12340.35;168.584;5.9495;0.003848744;35.78739
Nobina;Sverige;Mid Cap;Industri;Tjänster & Leverans;NOBINA;Aktier;Q4-2018;;;1.81;3.016666;17.9576;0.5489459;3.476403;8621.114;400999.8;0.187243;0.2229909;0.04278053;0.05771994;;0.2845462;911;972;4992.114;88.356;3.1463;0.004270077;32.15701
Nokia;Sverige;Large Cap;Informationsteknik;Kommunikation;NOKIA SEK;Aktier;Q1-2018;1.263088;-0.1743178;1.80156;1.763;-24.76172;1.295529;1.733492;243415.2;1067631;-0.0660996;0.08732607;0.0963244;-0.05188967;;;25607.25;28531.15;287221.5;5583.621;-2.0774;0.000151268;29.71474
Nokia Oyj;Finland;Large Cap;Informationsteknik;Kommunikation;NOKIA;Aktier;Q1-2018;0.8875852;-0.2495109;0.19;0.1833333;-23.32554;1.227053;1.762932;23669.52;21528100;-0.06795229;0.08621445;0.09547686;-0.05330224;;;2699.6;2978;27845.52;5583.621;-0.2138;0.003640171;28.94564
Nokian Renkaat;Finland;Large Cap;Industri;Produktion;NRE1V;Aktier;Q1-2018;0.02684353;0.1327433;1.52;1.55;20.3063;2.857378;3.002913;4348.086;563885.6;0.1571015;0.1675225;0.1963984;0.1855987;0.03426798;-0.03098573;178.26;158.1667;4522.086;135.88;1.6389;0.004296745;25.42442
Nolato;Sverige;Mid Cap;Industri;Produktion;NOLA B;Aktier;Q1-2018;5.995392;2.804511;10.8;11.83333;29.80152;2.702262;8.278197;19927.01;65149.74;0.2414456;0.23908;0.2323066;0.2194391;0.1635895;0.1684463;287.6;341;19967.01;26.307;25.4685;0.002664783;26.25035
Nordea;Sverige;Large Cap;Finans & Fastighet;Bank;NDA SEK;Aktier;Q1-2018;0.04501222;-0.2254283;6.25242;6.514767;11.59839;3.739731;1.07912;501046.5;9887302;0.09990079;0.1058766;0.005713652;0.005786032;0.01679239;-0.04228708;-30007.82;-25511.28;346606.5;4035;7.4062;0.002435846;24.2613
Nordea Dkk;Denmark;Large Cap;Finans & Fastighet;Bank;NDA DKK;Aktier;Q1-2018;-0.1243851;-0.2968397;4.86708;4.9848;11.2589;3.624123;1.09402;361864.5;852390.5;0.1012693;0.1066977;0.005760475;0.005864071;-0.007449751;-0.06503637;-23910.23;-20291.36;251380.5;4035;5.5334;0.000211358;22.12958
Nordea Oyj;Finland;Large Cap;Finans & Fastighet;Bank;NDA1V;Aktier;Q1-2018;-0.1265029;-0.2973087;0.654;0.67;11.23437;3.616049;1.091582;48562.43;2026531;0.1012693;0.1066977;0.005760475;0.005864071;-0.006926458;-0.06419855;-3215.6;-2727.333;33712.43;4035;0.7437;0.000476556;25.07112
Nordfyns Bank;Denmark;Small Cap;Finans & Fastighet;Bank;NRDF;Aktier;Q1-2018;0.8;0.4104478;;15;4.810647;1.744469;0.7750849;322.185;224.33;0.1339396;;;0.01664998;;;;81.4115;311.85;0.33;196.4393;;22.99309
Nordic Flanges;Sverige;First North;Industri;Produktion;NFAB;Aktier;Q4-2017;-0.3514645;-0.04907978;0.006;0.01;-4.961588;0.4111365;1.018688;125.5786;17080.65;-0.08135657;-0.1169593;-0.07645463;-0.05421036;;;10.6366;5.726;81.1456;52.352;-0.3124;0.000155278;60.31879
